INFO 2025-02-19 21:56:18,622 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-19 21:56:18,979 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\rest_framework\utils\encoders.py first seen with mtime 1739825849.9078014
DEBUG 2025-02-19 21:56:18,979 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\asyncio\selector_events.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,979 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1739825269.9243536
DEBUG 2025-02-19 21:56:18,980 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\reprlib.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,980 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\socket.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,981 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\asyncio\taskgroups.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,981 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\types.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,981 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1739825269.8023534
DEBUG 2025-02-19 21:56:18,982 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1739825269.8583534
DEBUG 2025-02-19 21:56:18,982 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\asyncio\proactor_events.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,982 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\sqlparse\cli.py first seen with mtime 1739825268.4181964
DEBUG 2025-02-19 21:56:18,983 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1739825268.5351968
DEBUG 2025-02-19 21:56:18,983 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\asyncio\tasks.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,983 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\core\checks\database.py first seen with mtime 1739825269.7953527
DEBUG 2025-02-19 21:56:18,984 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\linecache.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,984 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\core\files\base.py first seen with mtime 1739825269.800355
DEBUG 2025-02-19 21:56:18,984 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\utils\decorators.py first seen with mtime 1739825269.9243536
DEBUG 2025-02-19 21:56:18,985 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1739825268.9081964
DEBUG 2025-02-19 21:56:18,985 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\rest_framework\permissions.py first seen with mtime 1739825849.5391507
DEBUG 2025-02-19 21:56:18,985 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1739825269.8053532
DEBUG 2025-02-19 21:56:18,986 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\rest_framework\parsers.py first seen with mtime 1739825849.538148
DEBUG 2025-02-19 21:56:18,986 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\http\response.py first seen with mtime 1739825269.9003537
DEBUG 2025-02-19 21:56:18,987 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\rest_framework\mixins.py first seen with mtime 1739825849.5311494
DEBUG 2025-02-19 21:56:18,987 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\email\mime\text.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,987 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1739825268.4181964
DEBUG 2025-02-19 21:56:18,988 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\DLLs\_bz2.pyd first seen with mtime 1666629288.0
DEBUG 2025-02-19 21:56:18,988 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1739825269.863353
DEBUG 2025-02-19 21:56:18,988 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\token.py first seen with mtime 1666629248.0
